ParticipantID(1to12),condition(1to3),Target(1to7),Trial(1to20),PosTargetX,PosTargetY,PosX,PosY
1,1,1,1,-4.7605e-05,0.12282,-0.011949,0.13624
1,1,1,2,-4.7605e-05,0.12282,-0.016144,0.13269
1,1,1,3,-4.7605e-05,0.12282,-0.020195,0.15089
1,1,1,4,-3.2793e-05,0.12282,-0.010126,0.12829
1,1,1,5,-3.2793e-05,0.12282,-0.016444,0.12576
1,1,1,6,2.6021e-18,0.12282,-0.024523,0.13702
1,1,1,7,-5.5995e-05,0.12282,-0.025902,0.13386
1,1,1,8,-5.5995e-05,0.12282,-0.031117,0.12189
1,1,1,9,-5.5995e-05,0.12282,-0.03017,0.14131
1,1,1,10,-3.2793e-05,0.12282,-0.03225,0.12354
1,1,1,11,-5.5995e-05,0.12282,-0.034985,0.1339
1,1,1,12,2.6021e-18,0.12282,-0.028312,0.12829
1,1,1,13,2.6021e-18,0.12282,-0.025481,0.13169
1,1,1,14,-4.7605e-05,0.12282,-0.026925,0.12878
1,1,1,15,-4.7605e-05,0.12282,-0.024099,0.13803
1,1,1,16,-3.2793e-05,0.12282,-0.022225,0.11681
1,1,1,17,-3.2793e-05,0.12282,-0.028208,0.1369
1,1,1,18,-3.2793e-05,0.12282,-0.027699,0.12917
1,1,1,19,2.6021e-18,0.12282,-0.026555,0.12839
1,1,1,20,-5.5995e-05,0.12282,-0.022638,0.14946
1,1,2,1,-2.3858e-05,0.19782,-0.022001,0.21221
1,1,2,2,-2.3858e-05,0.19782,-0.010514,0.23145
1,1,2,3,-2.3858e-05,0.19782,-0.015429,0.23178
1,1,2,4,-6.7221e-18,0.19782,-0.02306,0.23418
1,1,2,5,-2.3858e-05,0.19782,-0.018594,0.2424
1,1,2,6,-3.737e-05,0.19782,-0.027302,0.22985
1,1,2,7,-3.737e-05,0.19782,-0.033589,0.23201
1,1,2,8,5.2817e-05,0.19782,-0.039118,0.21556
1,1,2,9,-3.737e-05,0.19782,-0.031817,0.22514
1,1,2,10,-3.737e-05,0.19782,-0.043706,0.21364
1,1,2,11,5.2817e-05,0.19782,-0.043117,0.21592
1,1,2,12,-2.3858e-05,0.19782,-0.045717,0.226
1,1,2,13,-2.3858e-05,0.19782,-0.043142,0.22373
1,1,2,14,-2.3858e-05,0.19782,-0.030261,0.23004
1,1,2,15,-6.7221e-18,0.19782,-0.033902,0.23842
1,1,2,16,-6.7221e-18,0.19782,-0.039612,0.21169
1,1,2,17,-6.7221e-18,0.19782,-0.032457,0.22928
1,1,2,18,5.2817e-05,0.19782,-0.032429,0.23063
1,1,2,19,5.2817e-05,0.19782,-0.033134,0.23775
1,1,2,20,-3.737e-05,0.19782,-0.04149,0.22662
1,1,3,1,-3.0358e-17,0.27282,-0.025624,0.30315
1,1,3,2,3.2903e-05,0.27282,-0.03547,0.31485
1,1,3,3,3.2903e-05,0.27282,-0.025067,0.30669
1,1,3,4,0.00010574,0.27282,-0.034006,0.31108
1,1,3,5,-1.8635e-05,0.27282,-0.041452,0.30617
1,1,3,6,-1.8635e-05,0.27282,-0.044381,0.30007
1,1,3,7,-3.0358e-17,0.27282,-0.050838,0.30732
1,1,3,8,3.2903e-05,0.27282,-0.053662,0.30456
1,1,3,9,3.2903e-05,0.27282,-0.048149,0.28482
1,1,3,10,3.2903e-05,0.27282,-0.04103,0.30482
1,1,3,11,3.2903e-05,0.27282,-0.045347,0.30095
1,1,3,12,-1.8635e-05,0.27282,-0.065584,0.29247
1,1,3,13,0.00010574,0.27282,-0.054838,0.30432
1,1,3,14,-3.0358e-17,0.27282,-0.05687,0.30497
1,1,3,15,-3.0358e-17,0.27282,-0.051097,0.29287
1,1,3,16,-3.0358e-17,0.27282,-0.032955,0.30412
1,1,3,17,-3.0358e-17,0.27282,-0.048133,0.31575
1,1,3,18,-3.0358e-17,0.27282,-0.055571,0.30511
1,1,3,19,3.2903e-05,0.27282,-0.055307,0.31555
1,1,3,20,3.2903e-05,0.27282,-0.039885,0.31917
1,1,4,1,-5.3343e-17,0.34782,-0.029046,0.38097
1,1,4,2,0.00015857,0.34782,-0.028996,0.38227
1,1,4,3,0.00015857,0.34782,-0.027776,0.39128
1,1,4,4,0.00015857,0.34782,-0.031099,0.37832
1,1,4,5,0.00015857,0.34782,-0.047373,0.3722
1,1,4,6,-5.3343e-17,0.34782,-0.052059,0.36519
1,1,4,7,2.3758e-05,0.34782,-0.060082,0.3826
1,1,4,8,0.00015857,0.34782,-0.061984,0.38872
1,1,4,9,0.00015857,0.34782,-0.060472,0.37674
1,1,4,10,6.5705e-05,0.34782,-0.062241,0.37762
1,1,4,11,6.5705e-05,0.34782,-0.061344,0.37669
1,1,4,12,6.5705e-05,0.34782,-0.068072,0.37655
1,1,4,13,2.3758e-05,0.34782,-0.06424,0.37625
1,1,4,14,2.3758e-05,0.34782,-0.059017,0.36545
1,1,4,15,2.3758e-05,0.34782,-0.055986,0.38018
1,1,4,16,-5.3343e-17,0.34782,-0.049514,0.37898
1,1,4,17,0.00015857,0.34782,-0.057901,0.37911
1,1,4,18,0.00015857,0.34782,-0.060345,0.37193
1,1,4,19,6.5705e-05,0.34782,-0.057501,0.39028
1,1,4,20,6.5705e-05,0.34782,-0.052451,0.39692
1,1,5,1,0.092425,0.25648,0.085618,0.2895
1,1,5,2,0.092425,0.25648,0.098009,0.29435
1,1,5,3,0.092325,0.25652,0.095265,0.30271
1,1,5,4,0.092308,0.25652,0.092516,0.29573
1,1,5,5,0.092308,0.25652,0.080738,0.29611
1,1,5,6,0.092308,0.25652,0.079971,0.29659
1,1,5,7,0.092325,0.25652,0.056255,0.30722
